,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
0,Puurs,Maison,None,348000,notariale,4,100,0,0,0,None,None,1,None,None,None,2,0,None
1,Mechelen,Appartement,None,185000,notariale,2,64,0,0,0,None,None,0,None,None,None,2,0,None
2,Balen,Maison,None,249000,notariale,7,175,0,0,0,True,20,1,None,None,None,4,0,None
3,Mechelen,Maison,None,515000,notariale,6,260,0,0,0,None,None,1,None,None,None,3,0,None
4,Beerzel,Maison,None,448000,notariale,6,179,0,0,0,None,None,1,None,None,None,4,0,None
5,Antwerpen,Appartement,None,299000,notariale,4,86,0,0,0,None,None,0,None,None,None,None,0,None
6,Borgerhout,Appartement,None,169000,notariale,2,70,0,0,0,None,None,0,None,None,None,2,0,None
7,Antwerpen,Maison,None,189900,notariale,8,145,0,0,0,None,None,0,None,None,None,2,0,None
8,None,Maison,Villa,410000,notariale,4,None,0,0,0,None,None,0,None,None,None,4,0,None
9,Antwerpen,Appartement,None,275000,notariale,3,80,0,0,0,True,6,0,None,None,None,2,0,None
0,Geel,Appartement,None,159000,notariale,4,92,0,0,0,None,None,0,None,None,None,None,0,old
1,Oostmalle,Maison,Villa,649000,notariale,9,288,0,0,0,None,None,1,None,None,750,4,0,old
2,Antwerpen,Appartement,None,265000,notariale,4,105,0,0,0,True,5,0,None,None,458,3,0,None
3,Antwerpen,Maison,None,199000,notariale,3,82,0,1,0,None,None,0,None,None,None,2,0,None
4,Wilrijk,Maison,None,625000,notariale,6,180,0,0,1,True,14,1,None,None,260,3,0,None
5,Mol,Maison,Maison unifamiliale,265000,notariale,4,207,0,0,0,None,None,1,None,None,350,3,0,None
6,Mol,Maison,Maison unifamiliale,379000,notariale,6,164,0,0,0,None,None,1,16,371,387,4,0,None
7,Grobbendonk,Maison,Villa,649000,notariale,4,360,0,0,0,None,None,1,None,None,544,4,0,new
8,Hoboken,Appartement,Penthouse,169000,notariale,2,71,0,0,0,True,18,0,None,None,None,None,0,new
9,Antwerpen,Appartement,None,285000,notariale,2,90,0,0,0,None,None,1,None,None,None,2,0,new
0,Mortsel,Maison,None,359000,notariale,6,210,0,0,0,True,14,0,None,None,93,2,0,new
1,Niel,Maison,None,275000,notariale,7,150,0,0,0,None,None,0,None,None,185,3,0,old
2,Boom,Maison,None,375000,notariale,10,250,0,0,0,True,30,0,None,None,215,2,0,None
3,Niel,Appartement,None,495000,notariale,8,235,0,0,0,True,50,0,None,None,95,2,0,old
4,Ekeren,Appartement,None,445000,notariale,5,410,0,0,0,None,None,0,None,None,300,2,0,old
5,Boom,Appartement,None,189000,notariale,5,130,0,0,0,True,65,0,None,None,130,2,0,old
6,Willebroek,Maison,None,189000,notariale,5,70,0,0,0,None,None,0,None,None,110,2,0,new
7,Boom,Maison,None,245000,notariale,5,330,0,0,0,True,50,0,None,None,160,2,0,old
8,Reet,Maison,None,1395000,notariale,11,470,0,0,0,None,None,0,None,None,800,4,0,old
9,Reet,Appartement,None,259000,notariale,5,145,0,0,0,None,None,0,None,None,145,3,0,old
0,Puurs,Maison,None,299500,notariale,6,None,0,0,0,None,None,1,None,None,476,3,0,old
1,Antwerpen,Maison,None,1246000,notariale,2,None,0,0,0,None,None,0,None,None,None,2,0,None
2,Mortsel,Appartement,None,225000,notariale,3,85,0,0,0,None,None,0,None,None,None,2,0,old
3,Antwerpen,Maison,None,525000,notariale,10,300,0,0,0,True,8,0,82,0,82,3,0,None
4,Willebroek,Maison,Maison unifamiliale,295000,notariale,4,76,0,0,0,None,None,1,None,None,131,2,0,None
5,Willebroek,Appartement,Serviceflat,255000,notariale,4,109,0,0,0,True,4,0,None,None,None,None,0,None
6,Willebroek,Maison,None,405000,notariale,6,250,0,0,0,None,None,1,None,None,215,2,0,None
7,Schoten,Maison,None,250000,notariale,3,160,0,0,0,None,None,1,None,None,132,2,0,None
8,Willebroek,Appartement,None,241500,notariale,2,79,0,0,0,None,None,0,None,None,None,4,0,old
9,Antwerpen,Appartement,None,349000,notariale,4,112,0,0,0,True,3,0,None,None,None,2,0,old
0,Antwerpen,Appartement,None,229000,notariale,5,110,0,0,0,True,50,0,110,None,None,2,0,new
1,Deurne,Appartement,None,205000,notariale,3,50,0,0,0,True,5,0,None,None,None,3,0,old
2,Berchem,Appartement,None,309000,notariale,4,113,0,0,0,None,None,0,None,None,582,None,0,old
3,Brasschaat,Appartement,None,287000,notariale,3,88,0,0,0,True,8,0,None,None,None,None,0,None
4,Deurne,Appartement,None,155000,notariale,3,60,0,0,0,None,None,0,None,None,None,None,0,new
5,Geel,Appartement,None,209000,notariale,4,90,0,0,0,True,6,0,None,None,None,2,0,new
6,Oud-Turnhout,Appartement,App. profession libérale,429000,notariale,5,165,0,0,0,None,None,0,None,None,None,None,0,new
7,Hemiksem,Appartement,None,235000,notariale,5,120,0,0,0,True,28,0,None,None,120,2,0,new
8,Mol,Appartement,None,253000,notariale,3,40,0,0,0,True,50,0,None,None,None,2,0,old
9,Geel,Appartement,None,249000,notariale,3,90,0,0,0,True,15,0,None,None,None,2,0,old
0,Balen,Maison,None,269900,notariale,6,158,0,0,0,None,None,1,None,None,None,3,0,None
1,Antwerpen,Appartement,Penthouse,1950000,notariale,4,200,0,0,0,True,72,0,None,None,None,None,0,old
2,Westerlo,Appartement,Duplex,359000,notariale,4,150,0,0,0,None,None,0,None,None,None,None,0,old
3,Geel,Maison,None,329000,notariale,6,170,0,0,0,None,None,1,None,None,000,4,0,old
4,Geel,Appartement,None,179000,notariale,4,90,0,0,0,None,None,0,None,None,None,None,0,new
5,Antwerpen,Appartement,None,335000,notariale,3,74,0,0,0,True,20,0,None,None,257,2,0,None
6,Borgerhout,Appartement,None,175000,notariale,3,75,0,0,0,None,None,0,None,None,None,2,0,None
7,Antwerpen,Appartement,None,225000,notariale,2,87,0,0,0,True,5,0,None,None,92,2,0,None
8,Antwerpen,Appartement,None,349000,notariale,3,120,0,0,0,True,12,0,None,None,None,2,0,None
9,Antwerpen,Appartement,None,175000,notariale,2,34,0,0,0,None,None,0,None,None,None,2,0,None
0,Hove,Maison,Villa,940000,notariale,7,266,0,0,0,None,None,1,165,603,768,4,0,new
1,Wuustwezel,Maison,None,329000,notariale,4,154,0,0,0,None,None,0,95,186,281,2,0,old
2,Ruisbroek,Appartement,None,349000,notariale,4,95,0,0,0,True,27,0,None,None,910,4,0,old
3,Turnhout,Appartement,Penthouse,549000,notariale,5,200,0,0,0,True,45,0,200,0,200,3,0,old
4,Geel,Appartement,None,1150000,notariale,1,None,0,0,0,None,None,1,None,None,452,None,0,old
5,Geel,Maison,None,265000,notariale,4,175,0,0,0,None,None,1,None,None,317,2,0,None
6,Duffel,Appartement,None,279500,notariale,3,70,0,0,0,None,None,0,None,None,None,3,0,new
7,Duffel,Appartement,Penthouse,299500,notariale,2,77,0,0,0,True,15,0,None,None,None,3,0,new
8,Kontich,Maison,None,349500,notariale,7,175,0,0,0,None,None,1,None,None,700,2,0,old
9,Balen,Appartement,None,234000,notariale,2,None,0,0,0,True,8,0,None,None,None,None,0,None
0,Niel,Appartement,None,185000,notariale,3,98,0,0,0,None,None,0,None,None,None,3,0,new
1,Mortsel,Maison,None,325000,notariale,7,162,0,0,0,True,50,0,None,None,50,3,0,old
2,Antwerpen,Appartement,None,459000,notariale,8,183,0,0,0,True,15,0,None,None,None,2,0,old
3,Olmen,Maison,None,265000,notariale,5,None,0,0,0,None,None,0,None,None,618,4,0,old
4,Deurne,Maison,Maison de ville,448000,notariale,5,210,0,0,0,None,None,1,None,None,111,2,0,old
5,Antwerpen,Appartement,Immeuble d'appartements,449000,notariale,11,210,0,0,0,None,None,0,None,None,None,2,0,None
6,Ekeren,Maison,Maison unifamiliale,399000,notariale,6,204,0,0,0,None,None,0,None,None,959,3,0,old
7,Antwerpen,Appartement,None,180000,notariale,4,79,0,0,0,None,None,0,None,None,350,3,0,old
8,Brasschaat,Maison,None,310000,notariale,4,120,0,0,0,None,None,1,None,None,393,3,0,new
9,Hoboken,Maison,None,245000,notariale,4,125,0,0,0,None,None,1,None,None,78,None,0,new
0,Muizen,Maison,None,369000,notariale,4,124,0,0,0,None,None,0,None,None,None,None,0,old
1,Muizen,Maison,None,365000,notariale,4,124,0,0,0,None,None,0,None,None,None,None,0,old
2,Muizen,Appartement,Attique,248000,notariale,2,71,0,0,0,None,None,0,None,None,None,None,0,old
3,Boom,Maison,None,378000,notariale,5,219,0,0,0,None,None,0,None,None,160,3,0,old
4,Boom,Maison,None,352000,notariale,5,219,0,0,0,None,None,0,None,None,160,2,0,old
5,Berendrecht,Appartement,None,326000,notariale,3,53,0,0,0,None,None,0,None,None,None,None,0,old
6,Boom,Appartement,None,179000,notariale,2,108,0,0,0,None,None,0,110,None,None,2,0,None
7,Berendrecht,Appartement,None,195000,notariale,2,65,0,0,0,None,None,0,None,None,None,None,0,old
8,Berendrecht,Appartement,None,285000,notariale,3,72,0,0,0,None,None,0,None,None,None,None,0,old
9,Berendrecht,Appartement,None,261000,notariale,3,85,0,0,0,None,None,0,None,None,None,None,0,old
0,Borgerhout,Maison,Maison unifamiliale,219900.0,notariale,4,92,0,0,0,None,None,0,None,None,37,2,0,None
1,Deurne,Appartement,None,375000.0,notariale,3,146,0,0,0,None,None,0,73,282,355,3,0,old
2,Deurne,Appartement,None,159000.0,notariale,3,79,0,0,0,None,None,0,None,None,115,2,0,old
3,None,None,None,None,None,0,None,0,0,0,None,None,0,None,None,None,None,0,None
4,Hoboken,Maison,Maison unifamiliale,275000.0,notariale,4,107,0,0,0,None,None,1,None,None,190,2,0,None
5,Mol,Maison,None,168000.0,notariale,0,112,0,0,0,None,None,1,None,None,269,None,0,old
6,Antwerpen,Appartement,None,165000.0,notariale,3,71,0,0,1,None,None,0,None,None,None,2,0,old
7,Pulle,Maison,Maison unifamiliale,387000.0,notariale,5,None,0,0,0,None,None,1,None,None,279,None,0,old
8,Deurne,Appartement,Immeuble d'appartements,189000.0,notariale,5,53,0,0,0,None,None,0,None,None,247,3,0,new
9,Deurne,Appartement,None,179900.0,notariale,2,50,0,0,0,True,3,0,None,None,None,2,0,old
0,Grobbendonk,Maison,None,374576,notariale,3,None,0,0,0,None,None,0,None,None,410,None,0,None
1,Grobbendonk,Maison,None,383810,notariale,3,None,0,0,0,None,None,0,None,None,426,None,0,None
2,Geel,Maison,None,437201,notariale,4,None,0,0,0,None,None,0,None,None,031,None,0,None
3,Grobbendonk,Maison,None,374288,notariale,3,None,0,0,0,None,None,0,None,None,418,None,0,None
4,Boechout,Appartement,None,210000,notariale,4,95,0,0,0,None,None,0,None,None,None,3,0,old
5,Berlaar,Maison,Maison unifamiliale,350000,notariale,5,None,0,0,0,None,None,0,None,None,None,None,0,old
6,Mol,Maison,Villa,450000,notariale,11,285,0,0,0,None,None,0,None,None,289,4,0,old
7,Antwerpen,Maison,None,229000,notariale,4,None,0,0,0,None,None,0,None,None,115,2,0,None
8,Pulle,Maison,None,359000,notariale,6,187,0,0,0,None,None,0,None,None,835,4,0,old
9,Wortel,Maison,Maison unifamiliale,940000,notariale,5,395,0,0,0,None,None,1,None,None,41,4,0,new
0,Kessel,Maison,None,345000,notariale,6,120,0,0,0,None,None,1,None,None,698,4,0,old
1,Antwerpen,Appartement,None,520000,notariale,3,100,0,0,0,True,22,0,None,None,None,2,0,old
2,Itegem,Appartement,None,375000,notariale,5,138,0,0,0,None,None,1,None,None,248,3,0,old
3,Itegem,Appartement,None,358000,notariale,5,96,0,0,0,True,48,0,None,None,144,3,0,old
4,Antwerpen,Appartement,None,149000,notariale,2,50,0,0,0,None,None,0,None,None,79,None,0,old
5,Geel,Appartement,None,290000,notariale,11,260,0,0,0,None,None,1,None,None,693,None,0,old
6,Antwerpen,Appartement,Studio,174500,notariale,1,30,0,0,0,True,20,0,None,None,None,2,0,new
7,Boom,Maison,None,229000,notariale,6,140,0,0,0,None,None,1,None,None,84,2,0,new
8,Antwerpen,Maison,Usage mixte,1695000,notariale,10,330,0,0,0,None,None,0,131,0,131,None,0,old
9,Essen,Maison,None,545000,notariale,6,250,0,0,0,None,None,1,150,450,600,3,0,old
0,Antwerpen,Appartement,None,165000,notariale,5,85,0,0,0,True,44,0,None,None,85,2,0,old
1,Antwerpen,Appartement,None,259000,notariale,2,83,0,0,0,None,None,0,None,None,None,None,0,None
2,Hoevenen,Maison,Bel-étage,345000,notariale,5,162,0,0,0,True,17,1,None,None,231,2,0,old
3,Antwerpen,Maison,Maison unifamiliale,269000,notariale,4,128,0,0,0,None,None,0,None,None,45,2,0,new
4,Hemiksem,Maison,Maison unifamiliale,155000,notariale,4,157,0,0,0,None,None,0,None,None,16,2,0,None
5,Borsbeek,Appartement,App. rez-de-chaussée,160000,notariale,3,75,0,0,0,None,None,0,None,None,None,2,0,old
6,Hulshout,Appartement,None,258000,notariale,4,85,0,0,0,True,19,0,None,None,539,None,0,old
7,Geel,Maison,None,235000,notariale,5,160,0,0,0,None,None,1,None,None,650,4,0,old
8,Geel,Maison,None,280000,notariale,6,170,0,0,0,None,None,1,None,None,625,3,0,old
9,Oud-Turnhout,Maison,Maison unifamiliale,250000,notariale,5,168,0,0,0,True,30,1,None,None,330,2,0,old
0,Antwerpen,Appartement,None,229000,notariale,4,120,0,0,0,None,None,0,None,None,None,2,0,old
1,Wilrijk,Maison,Usage mixte,455000,agence,7,250,0,0,0,None,None,0,None,None,187,2,0,old
2,Tongerlo,Maison,None,275000,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,None
3,Brasschaat,Appartement,None,269000,notariale,3,107,0,0,0,None,None,0,None,None,None,2,0,None
4,Brasschaat,Appartement,None,259000,notariale,3,108,0,0,0,None,None,0,None,None,None,2,0,None
5,Antwerpen,Appartement,Penthouse,595000,notariale,5,189,0,1,0,True,10,0,None,None,135,2,0,new
6,Noorderwijk,Maison,Maison unifamiliale,287500,notariale,6,None,0,0,0,None,None,1,None,None,930,4,0,old
7,Antwerpen,Maison,None,268000,notariale,5,None,0,0,0,None,None,1,None,None,None,None,0,None
8,Wilrijk,Appartement,Duplex,253000,notariale,1,None,0,0,0,None,None,0,None,None,None,None,0,None
9,Lier,Maison,Villa,469000,notariale,4,175,0,0,0,True,23,0,105,0,105,2,0,old
0,Antwerpen,Appartement,None,250000,notariale,3,85,0,0,0,True,5,0,None,None,None,2,0,old
1,Heist-op-den-Berg,Maison,None,390000,notariale,5,40,0,0,0,None,None,0,None,None,199,4,0,old
2,Stabroek,Maison,None,500000,notariale,5,273,0,0,0,True,21,1,119,373,492,3,0,old
3,Berlaar,Maison,Maison unifamiliale,295000,notariale,6,146,0,0,0,None,None,1,None,None,130,2,0,None
4,Mechelen,Maison,Usage mixte,469000,notariale,7,None,0,0,0,None,None,0,None,None,86,2,0,None
5,Hoboken,Appartement,None,199000,notariale,2,75,0,0,0,True,22,0,90,None,None,3,0,old
6,None,Appartement,Studio avec coin lit,40000,notariale,1,None,0,0,0,None,None,0,None,None,162,None,0,old
7,Onze-Lieve-Vrouw-Waver,Appartement,None,249000,notariale,2,None,0,0,0,None,None,0,None,None,75,2,0,old
8,Wilrijk,Maison,None,319000,notariale,6,110,0,0,0,None,None,0,None,None,None,2,0,old
9,Puurs,Maison,None,325000,notariale,6,180,0,0,0,True,40,0,None,None,None,3,0,old
0,Merksem,Maison,Maison exceptionnelle,495000,notariale,4,186,0,0,0,None,None,1,None,None,207,2,0,new
1,Herenthout,Appartement,None,314500,notariale,4,117,0,0,0,True,17,0,None,None,None,None,0,old
2,Turnhout,Maison,None,235000,notariale,3,110,0,0,0,None,None,0,None,None,200,3,0,None
3,Laakdal,Appartement,None,255000,notariale,3,126,0,0,0,True,26,1,None,None,None,None,0,old
4,Wiekevorst,Maison,None,425000,notariale,7,None,0,0,0,None,None,0,None,None,None,3,0,old
5,Brasschaat,Maison,Bel-étage,395000,notariale,6,None,0,0,0,True,12,0,None,None,266,2,0,old
6,Schilde,Appartement,None,304000,notariale,4,90,0,0,0,True,70,0,None,None,166,3,0,old
7,Lier,Maison,Maison exceptionnelle,450000,notariale,5,296,0,0,0,None,None,0,None,None,144,2,0,None
8,Mol,Maison,None,230000,notariale,0,66,0,0,0,None,None,1,None,None,None,None,0,None
9,Grobbendonk,Maison,Maison unifamiliale,275000,notariale,5,130,0,0,0,None,None,0,None,None,530,None,0,old
0,Mol,Appartement,None,228000,notariale,2,95,0,0,0,True,10,0,None,None,None,None,0,None
1,Turnhout,Appartement,None,318500,notariale,2,130,0,0,0,True,13,0,None,None,None,None,0,old
2,Turnhout,Appartement,None,322000,notariale,3,105,0,0,0,True,18,0,None,None,None,None,0,old
3,Oud-Turnhout,Maison,Villa,1895000,notariale,11,865,0,0,0,None,None,1,None,None,000,4,0,old
4,Mol,Appartement,None,287000,notariale,3,123,0,0,0,True,10,0,None,None,None,None,0,None
5,Putte,Appartement,None,342000,notariale,3,119,0,0,0,True,35,0,None,None,None,None,0,old
6,Turnhout,Appartement,None,219000,notariale,2,93,0,0,0,True,14,1,None,None,None,None,0,None
7,Turnhout,Appartement,None,319700,notariale,6,133,0,0,0,True,12,0,None,None,None,None,0,None
8,Turnhout,Appartement,None,239000,notariale,2,99,0,0,0,True,9,0,None,None,None,None,0,new
9,Turnhout,Appartement,None,302075,notariale,6,134,0,0,0,True,13,0,None,None,None,None,0,None
