,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Mol,Maison,,298507,notariale,6,172,0,0,0,,,0,,,308,3,0,old,2022,,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JU37O/
1,Mol,Maison,,317758,notariale,6,153,0,0,0,,,0,153,298,451,3,0,old,2022,,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JU37P/
2,Mol,Maison,,327399,notariale,6,128,0,0,0,,,0,128,296,424,4,0,old,2022,,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JU379/
3,Mol,Maison,,322758,notariale,6,153,0,0,0,,,0,153,381,534,3,0,old,2022,,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JU37Q/
4,Boom,Maison,,415000,notariale,5,293,0,0,0,,,0,135,337,472,3,0,old,1957,280,https://www.zimmo.be/fr/boom-2850/a-vendre/maison/JU357/
5,Hallaar,Maison,Maison unifamiliale,400000,notariale,4,211,0,0,0,,,1,,,429,3,0,old,2021,,https://www.zimmo.be/fr/hallaar-2220/a-vendre/maison/JU2CS/
6,Hallaar,Maison,Maison unifamiliale,390000,notariale,4,203,0,0,0,,,1,,,331,3,0,old,2021,,https://www.zimmo.be/fr/hallaar-2220/a-vendre/maison/JU2CQ/
7,Malle,Bien professionnel,Rez-de-chaussée commercial,189900,notariale,0,92,0,0,0,,,0,,,201,2,0,old,2008,,https://www.zimmo.be/fr/malle-2390/a-vendre/bien-professionnel/JU22P/
8,Willebroek,Bien professionnel,Bureaux,250000,notariale,0,,0,0,0,,,0,,,,3,0,old,2005,,https://www.zimmo.be/fr/willebroek-2830/a-vendre/bien-professionnel/JU20E/
9,Vlimmeren,Terrain,,209000,notariale,0,,0,0,0,,,0,,,965,4,0,,,,https://www.zimmo.be/fr/vlimmeren-2340/a-vendre/terrain/JU1Z7/
0,Deurne,Garage,Box,18000,notariale,1,30,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/deurne-2100/a-vendre/garage/JXKG8/
