,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Linter,Maison,Maison unifamiliale,345000,notariale,6,176,0,0,0,,,0,,,,3,0,,1918,753,https://www.zimmo.be/fr/linter-3350/a-vendre/maison/JXUJZ/
1,Dilbeek,Appartement,,184000,notariale,4,85,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/dilbeek-1700/a-vendre/appartement/JXUFP/
2,Dilbeek,Maison,Maison exceptionnelle,925554,notariale,6,258,0,0,0,,,1,,,,4,0,,,,https://www.zimmo.be/fr/dilbeek-1700/a-vendre/maison/JXUE8/
3,Dilbeek,Maison,Maison exceptionnelle,1007701,notariale,5,74,0,0,0,,,1,,,,4,0,,,,https://www.zimmo.be/fr/dilbeek-1700/a-vendre/maison/JXUE9/
4,Perk,Maison,,520000,notariale,7,,0,0,0,,,1,,,,4,0,,1998,411,https://www.zimmo.be/fr/perk-1820/a-vendre/maison/JXUEU/
5,Boutersem,Maison,,719000,notariale,9,220,0,0,0,,,1,,,,4,0,,1993,253,https://www.zimmo.be/fr/boutersem-3370/a-vendre/maison/JXUE0/
6,,Projet,,250000,notariale,0,,0,0,0,,,0,,,,,0,,2019,,https://www.zimmo.be/fr/strombeek-bever-1853/a-vendre/projet-immobilier/1003YZB/
7,,Projet,,315425,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/sint-pieters-leeuw-1600/a-vendre/projet-immobilier/10040WT/
8,,Projet,,435000,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/ternat-1740/a-vendre/projet-immobilier/10041UJ/
9,,Projet,,289900,notariale,0,,0,0,0,,,0,,,,,0,,2019,,https://www.zimmo.be/fr/strombeek-bever-1853/a-vendre/projet-immobilier/1003RI9/
0,,Projet,,189990,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/schepdaal-1703/a-vendre/projet-immobilier/10044VW/
1,,Projet,,358682,notariale,0,,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/boutersem-3370/a-vendre/projet-immobilier/10045IM/
2,,Projet,,234000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/aarschot-3200/a-vendre/projet-immobilier/10041YJ/
3,Zemst,Maison,,669000,notariale,10,335,0,0,0,,,1,,,,3,0,,2004,170,https://www.zimmo.be/fr/zemst-1982/a-vendre/maison/JXSSI/
4,Diest,Appartement,Duplex,319000,notariale,4,91,0,0,0,True,48,0,,,,2,0,,2021,,https://www.zimmo.be/fr/diest-3290/a-vendre/appartement/JXSSC/
5,Diest,Appartement,,249000,notariale,4,78,0,0,0,,,1,,,,2,0,,2021,,https://www.zimmo.be/fr/diest-3290/a-vendre/appartement/JXSSB/
6,Geetbets,Maison,,199000,notariale,5,230,0,0,0,,,1,,,,,0,,,843,https://www.zimmo.be/fr/geetbets-3450/a-vendre/maison/JXSRS/
7,Haasrode,Maison,,395000,notariale,5,168,0,0,0,,,1,,,,3,0,,1945,389,https://www.zimmo.be/fr/haasrode-3053/a-vendre/maison/JXSPE/
8,Leuven,Appartement,,259000,notariale,2,44,0,0,0,,,0,,,,2,0,,,537,https://www.zimmo.be/fr/leuven-3000/a-vendre/appartement/JXSPF/
9,Heverlee,Appartement,Duplex,485000,notariale,4,93,0,0,0,True,50,0,,,,3,0,,2013,130,https://www.zimmo.be/fr/heverlee-3001/a-vendre/appartement/JXSPD/
0,Leuven,Garage,Garage en sous-sol,28000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/leuven-3000/a-vendre/garage/JXWKB/
1,Tienen,Maison,Maison de ville,495000,notariale,8,450,0,0,0,,,1,,,,2,0,,,743,https://www.zimmo.be/fr/tienen-3300/a-vendre/maison/JXWKC/
2,Schepdaal,Maison,,315000,notariale,6,94,0,0,0,,,1,,,,2,0,,1982,670,https://www.zimmo.be/fr/schepdaal-1703/a-vendre/maison/JXWKA/
3,,Projet,,321000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/herent-3020/a-vendre/projet-immobilier/1004609/
4,Kraainem,Appartement,,299000,notariale,3,95,0,0,0,,,0,,,,,0,,2000,188,https://www.zimmo.be/fr/kraainem-1950/a-vendre/appartement/JXWD9/
