,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Wavre,Bien professionnel,Rez-de-chaussée commercial,325000.0,notariale,0,,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/bien-professionnel/JSSAG/
1,Genval,Garage,Garage en sous-sol,15000.0,notariale,2,,0,0,0,,,0,,,,,0,old,2015,,https://www.zimmo.be/fr/genval-1332/a-vendre/garage/JSOP9/
2,Genval,Garage,Garage en sous-sol,15000.0,notariale,2,,0,0,0,,,0,,,,,0,old,2015,,https://www.zimmo.be/fr/genval-1332/a-vendre/garage/JSOP8/
3,Jodoigne,Maison,Usage mixte,945000.0,notariale,8,350,0,0,0,,,0,,,,2,0,,,135,https://www.zimmo.be/fr/jodoigne-1370/a-vendre/maison/JFDPV/
4,Rebecq,Maison,,395000.0,notariale,12,185,0,0,0,,,0,,,750,4,0,new,1957,648,https://www.zimmo.be/fr/rebecq-1430/a-vendre/maison/JRQRO/
5,Rebecq,Bien professionnel,Bureaux,149000.0,notariale,0,180,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/rebecq-1430/a-vendre/bien-professionnel/JRKO2/
6,Nivelles,Appartement,,344000.0,notariale,4,128,0,0,0,True,14,0,,,1,4,0,old,2022,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JOL57/
7,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,287,,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/bien-professionnel/JPQCJ/
8,Court-Saint-Etienne,Bien professionnel,Commerce,180000.0,notariale,1,30,0,0,0,,,0,,,,,0,old,2018,,https://www.zimmo.be/fr/court-saint-etienne-1490/a-vendre/bien-professionnel/JOOF9/
9,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,961,,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/bien-professionnel/JONW9/
0,Nivelles,Appartement,,284000.0,notariale,3,92,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JW5DW/
1,Nivelles,Appartement,Penthouse,343500.0,notariale,3,98,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JW5DT/
2,Nivelles,Maison,,383000.0,notariale,5,,0,0,0,,,1,,,217,2,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/maison/JW5E2/
3,Nivelles,Appartement,,276000.0,notariale,3,94,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JW5E6/
4,Waterloo,Appartement,,3500000.0,notariale,0,994,0,0,0,,,0,553,0,553,,0,,,,https://www.zimmo.be/fr/waterloo-1410/a-vendre/appartement/JW51M/
5,Braine-l'Alleud,Maison,Villa,2850000.0,notariale,14,900,0,0,0,,,1,,,160,4,0,new,1970,266,https://www.zimmo.be/fr/braine-l%27alleud-1420/a-vendre/maison/JTF77/
6,Bousval,Appartement,,265000.0,notariale,4,120,0,0,0,True,22,0,,,,3,0,new,2021,310,https://www.zimmo.be/fr/bousval-1470/a-vendre/appartement/JW3NO/
7,Genval,Appartement,,369000.0,notariale,2,101,0,0,0,True,18,1,101,,,,0,old,2019,,https://www.zimmo.be/fr/genval-1332/a-vendre/appartement/JW2K3/
8,Nivelles,Appartement,,175000.0,notariale,3,65,0,0,0,,,0,,,,2,0,old,1960,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JW1S2/
9,Mont-Saint-Guibert,Appartement,,249000.0,notariale,3,50,0,0,0,True,60,1,,,,2,0,old,2022,105,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JW1OH/
0,Lillois-Witterzée,Maison,Maison de ville,285000.0,notariale,4,145,0,0,1,,,0,,,,,0,,1850,268,https://www.zimmo.be/fr/lillois-witterzee-1428/a-vendre/maison/JXLRD/
1,Rixensart,Appartement,,300000.0,notariale,5,115,0,0,1,True,14,1,,,,,0,,,163,https://www.zimmo.be/fr/rixensart-1330/a-vendre/appartement/JXL3N/
2,,Projet,,176000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/projet-immobilier/10045UC/
3,Ophain-Bois-Seigneur-Isaac,Maison,,330000.0,notariale,6,220,0,0,0,True,95,1,,,,3,0,,,318,https://www.zimmo.be/fr/ophain-bois-seigneur-isaac-1421/a-vendre/maison/JXJN8/
4,Waterloo,Maison,,945000.0,notariale,10,255,0,0,0,,,1,,,,4,0,,,250,https://www.zimmo.be/fr/waterloo-1410/a-vendre/maison/JXJH3/
5,,Projet,,218000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/projet-immobilier/1003OKA/
6,,Projet,,335000.0,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/waterloo-1410/a-vendre/projet-immobilier/10045GK/
7,,Projet,,268000.0,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/projet-immobilier/10045GL/
8,Grez-Doiceau,Maison,Villa,595000.0,notariale,7,210,0,0,0,True,50,1,,,,4,0,,1980,333,https://www.zimmo.be/fr/grez-doiceau-1390/a-vendre/maison/JXIXB/
9,Wavre,Bien professionnel,Rez-de-chaussée commercial,220000.0,notariale,0,109,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/bien-professionnel/JXHYT/
0,Ramillies,Maison,,391247.0,notariale,3,,0,0,0,,,0,,,694,,0,,,,https://www.zimmo.be/fr/ramillies-1367/a-vendre/maison/JX482/
1,Ramillies,Maison,,387065.0,notariale,3,,0,0,0,,,0,,,694,,0,,,,https://www.zimmo.be/fr/ramillies-1367/a-vendre/maison/JX483/
2,,Terrain,Terrain à bâtir,175000.0,notariale,0,,0,0,0,,,0,,,560,,0,,,,https://www.zimmo.be/fr/tourinnes-saint-lambert-1457/a-vendre/terrain/JX3UP/
3,Tubize,Bien professionnel,Bureaux,260000.0,notariale,6,110,0,0,0,,,0,,,,,0,old,2012,158,https://www.zimmo.be/fr/tubize-1480/a-vendre/bien-professionnel/JX28S/
4,Wavre,Appartement,,299000.0,notariale,2,10,0,0,0,True,80,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JX1PZ/
5,Wavre,Appartement,,335000.0,notariale,3,90,0,0,0,True,10,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JX1Q0/
6,Wavre,Appartement,Penthouse,479000.0,notariale,5,80,0,0,0,True,90,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JX1PY/
