,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Kortrijk,Bien professionnel,Bien commercial,525000,notariale,7,,0,0,0,,,0,,,,,0,,1900,341,https://www.zimmo.be/fr/kortrijk-8500/a-vendre/bien-professionnel/JY3PW/
1,Kortrijk,Maison,Maison de ville,695000,notariale,9,414,0,0,0,,,1,,,,,0,,,429,https://www.zimmo.be/fr/kortrijk-8500/a-vendre/maison/JY3PX/
2,Zwevegem,Appartement,,145000,notariale,5,98,0,0,0,,,0,,,,,0,,1983,275,https://www.zimmo.be/fr/zwevegem-8550/a-vendre/appartement/JY3PU/
3,Kortrijk,Maison,Usage mixte,525000,notariale,7,,0,0,0,,,0,,,,,0,,1900,341,https://www.zimmo.be/fr/kortrijk-8500/a-vendre/maison/JY3PS/
4,Roeselare,Appartement,,23000000,notariale,5,,0,0,0,,,0,,,,,0,,,179,https://www.zimmo.be/fr/roeselare-8800/a-vendre/appartement/JY3PC/
5,,Projet,,306598,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/blankenberge-8370/a-vendre/projet-immobilier/10041DU/
6,,Projet,,283000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/sint-idesbald-8670/a-vendre/projet-immobilier/100446H/
7,,Projet,,230819,notariale,0,,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/zwevegem-8550/a-vendre/projet-immobilier/100446E/
8,,Projet,,185000,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/ardooie-8850/a-vendre/projet-immobilier/10044IW/
9,,Projet,,270000,notariale,0,,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/kortrijk-8500/a-vendre/projet-immobilier/100458P/
0,Brugge,Maison,,300000,notariale,5,,0,0,0,,,0,,,,2,0,,1720,546,https://www.zimmo.be/fr/brugge-8000/a-vendre/maison/JY3Z5/
1,Kortrijk,Maison,,189000,notariale,4,,0,0,0,,,0,,,,,0,,1930,463,https://www.zimmo.be/fr/kortrijk-8500/a-vendre/maison/JY3YS/
2,Beveren-Leie,Maison,Ferme,1325000,notariale,4,,0,0,0,,,0,,,,,0,,,442,https://www.zimmo.be/fr/beveren-leie-8791/a-vendre/maison/JVFAH/
3,Oostende,Appartement,,139000,notariale,1,40,0,0,0,,,0,,,,,0,,1974,157,https://www.zimmo.be/fr/oostende-8400/a-vendre/appartement/JY3VL/
4,Ledegem,Bien professionnel,Bâtiment d’entreprise,1585000,notariale,0,950,0,0,0,,,0,,,,,0,,1995,,https://www.zimmo.be/fr/ledegem-8880/a-vendre/bien-professionnel/JY3VH/
5,Lauwe,Bien professionnel,Bâtiment d’entreprise,166850,notariale,0,142,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/lauwe-8930/a-vendre/bien-professionnel/JY3VE/
6,Koksijde,Garage,,65000,notariale,1,,0,0,0,,,0,,,,2,0,,2014,,https://www.zimmo.be/fr/koksijde-8670/a-vendre/garage/JY3V6/
7,Oudenburg,Maison,Bungalow,299000,notariale,6,155,0,0,0,,,1,,,,,0,,,391,https://www.zimmo.be/fr/oudenburg-8460/a-vendre/maison/JY3V3/
8,Lichtervelde,Terrain,Terrain à bâtir,150000,notariale,0,,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/lichtervelde-8810/a-vendre/terrain/JY3SG/
9,Torhout,Maison,,369000,notariale,6,,0,0,0,,,1,,,,,0,,2003,150,https://www.zimmo.be/fr/torhout-8820/a-vendre/maison/JY3R4/
0,Zedelgem,Appartement,,281000.0,notariale,5,,0,0,0,,,0,,,,2,0,,2020,,https://www.zimmo.be/fr/zedelgem-8210/a-vendre/appartement/JY3RG/
1,Roeselare,Maison,,269900.0,notariale,6,146,0,0,0,,,1,,,,,0,,,226,https://www.zimmo.be/fr/roeselare-8800/a-vendre/maison/JY3QF/
2,Roeselare,Maison,,259900.0,notariale,6,198,0,0,0,,,1,,,,,0,,,172,https://www.zimmo.be/fr/roeselare-8800/a-vendre/maison/JY3QE/
3,Izegem,Terrain,Bois,214955.0,notariale,0,,0,0,0,,,0,,,,2,0,,2020,,https://www.zimmo.be/fr/izegem-8870/a-vendre/terrain/JY3QA/
4,Brugge,Garage,,39900.0,notariale,0,,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/brugge-8000/a-vendre/garage/JY3Q8/
5,Ardooie,Maison,,135000.0,notariale,2,,0,0,0,,,1,,,,3,0,,,835,https://www.zimmo.be/fr/ardooie-8850/a-vendre/maison/JY3PO/
6,Kortemark,Maison,,401001.0,notariale,6,,0,0,0,,,1,,,,4,0,,,,https://www.zimmo.be/fr/kortemark-8610/a-vendre/maison/JY3Q0/
