,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Sint-Niklaas,Appartement,,179000,notariale,4,,0,0,0,,,0,,,,2,0,,1962,150,https://www.zimmo.be/fr/sint-niklaas-9100/a-vendre/appartement/JXNUZ/
1,Dendermonde,Maison,Fermette,899000,notariale,17,38,0,0,0,,,0,,,,4,0,,1850,101,https://www.zimmo.be/fr/dendermonde-9200/a-vendre/maison/JXNPP/
2,Lokeren,Maison,Usage mixte,950000,notariale,7,666,0,0,0,,,1,,,,4,0,,1920,272,https://www.zimmo.be/fr/lokeren-9160/a-vendre/maison/JXNPV/
3,,Projet,,179990,notariale,0,,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/temse-9140/a-vendre/projet-immobilier/10045WL/
4,Gent,Maison,,495000,notariale,4,178,0,0,0,True,20,0,,,,2,0,,,272,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/JXNQS/
5,Aspelare,Maison,,239000,notariale,5,181,0,0,0,,,0,,,,3,0,,1962,637,https://www.zimmo.be/fr/aspelare-9404/a-vendre/maison/JXNP6/
6,Deinze,Appartement,,139500,notariale,2,46,0,0,0,,,0,,,,2,0,,,165,https://www.zimmo.be/fr/deinze-9800/a-vendre/appartement/JXNOY/
7,Merelbeke,Maison,,339000,notariale,6,150,0,0,0,,,1,,,,2,0,,1973,259,https://www.zimmo.be/fr/merelbeke-9820/a-vendre/maison/JXNQK/
8,Eeklo,Terrain,Terrain à bâtir,295000,notariale,0,,0,0,0,,,1,,,,4,0,,,,https://www.zimmo.be/fr/eeklo-9900/a-vendre/terrain/JXNMI/
9,Eeklo,Maison,,339000,notariale,4,210,0,0,0,,,1,,,,3,0,,,246,https://www.zimmo.be/fr/eeklo-9900/a-vendre/maison/JXNMJ/
0,Gent,Appartement,,360000,notariale,3,75,0,0,0,,,1,,,50,,0,old,2021,,https://www.zimmo.be/fr/gent-9000/a-vendre/appartement/JQA9W/
1,Oudenaarde,Bien professionnel,,845000,notariale,8,337,0,0,0,,,0,,,481,2,0,old,1985,242,https://www.zimmo.be/fr/oudenaarde-9700/a-vendre/bien-professionnel/JQ9F1/
2,Ninove,Bien professionnel,Rez-de-chaussée commercial,175000,notariale,0,113,0,0,0,,,0,,,113,2,0,old,1978,,https://www.zimmo.be/fr/ninove-9400/a-vendre/bien-professionnel/JQ93J/
3,Renaix,Maison,,275000,notariale,6,135,0,0,0,,,1,50,487,537,3,0,old,2021,,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JPLQK/
4,Renaix,Maison,,275000,notariale,6,135,0,0,0,,,1,50,481,531,3,0,old,2021,,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JPLQL/
5,Renaix,Maison,,275000,notariale,6,135,0,0,0,,,1,50,487,537,3,0,old,2021,,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JPLQJ/
