,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Mons,Maison,,268494,notariale,5,,0,0,0,,,1,,,,3,0,,,,https://www.zimmo.be/fr/mons-7000/a-vendre/maison/JWJRX/
1,Mons,Maison,,271632,notariale,5,,0,0,0,,,1,,,,3,0,,,,https://www.zimmo.be/fr/mons-7000/a-vendre/maison/JWJRV/
0,Deux-Acren,Terrain,Terrain à bâtir,163285,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY32Y/
1,Deux-Acren,Terrain,Terrain à bâtir,85000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY32U/
2,Deux-Acren,Terrain,Terrain à bâtir,84320,notariale,0,,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY307/
3,Deux-Acren,Terrain,Terrain à bâtir,83980,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY302/
4,Deux-Acren,Terrain,Terrain à bâtir,87635,notariale,0,,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY301/
5,Deux-Acren,Terrain,Terrain à bâtir,89250,notariale,0,,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY2ZS/
6,Frasnes-lez-Buissenal,Maison,,260000,notariale,3,242,0,0,0,,,0,,,,4,0,,1953,,https://www.zimmo.be/fr/frasnes-lez-buissenal-7911/a-vendre/maison/JY2XQ/
7,Mons,Maison,,275800,notariale,5,,0,0,0,,,1,,,,3,0,,,,https://www.zimmo.be/fr/mons-7000/a-vendre/maison/JY2UM/
8,Mons,Maison,,285629,notariale,5,,0,0,0,,,1,,,,3,0,,,,https://www.zimmo.be/fr/mons-7000/a-vendre/maison/JWJRY/
9,Mons,Maison,,252406,notariale,5,,0,0,0,,,1,,,,2,0,,,,https://www.zimmo.be/fr/mons-7000/a-vendre/maison/JWJS0/
0,Mouscron,Appartement,,239000,notariale,6,,0,0,0,,,0,,,,2,0,,,183,https://www.zimmo.be/fr/mouscron-7700/a-vendre/appartement/JXXJL/
1,Pottes,Maison,Maison unifamiliale,750000,notariale,8,356,0,0,0,,,1,,,,4,0,,,287,https://www.zimmo.be/fr/pottes-7760/a-vendre/maison/JY3L2/
2,Boussu,Maison,,180000,notariale,5,130,0,0,0,True,10,0,,,,3,0,,,418,https://www.zimmo.be/fr/boussu-7300/a-vendre/maison/JY3KQ/
3,Givry,Maison,Villa,399000,notariale,4,255,0,0,0,True,40,1,,,,4,0,,2011,213,https://www.zimmo.be/fr/givry-7041/a-vendre/maison/JY3KR/
4,Ellezelles,Maison,,220000,notariale,5,185,0,0,0,,,1,,,,3,0,,1970,,https://www.zimmo.be/fr/ellezelles-7890/a-vendre/maison/JY3KC/
5,Leuze-en-Hainaut,Appartement,,329000,notariale,5,163,0,0,0,,,0,,,,,0,,2009,117,https://www.zimmo.be/fr/leuze-en-hainaut-7900/a-vendre/appartement/JY3HL/
6,Gilly,Maison,Maison unifamiliale,72000,notariale,3,82,0,0,0,,,1,,,,2,0,,,,https://www.zimmo.be/fr/gilly-6060/a-vendre/maison/JY3CL/
7,Deux-Acren,Bien professionnel,Immeuble d’appartements,395000,notariale,10,312,0,0,0,,,0,,,,3,0,,,362,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/bien-professionnel/JY3A0/
8,Ploegsteert,Maison,Maison jumelée,179900,notariale,5,75,0,0,0,,,1,,,,2,0,,,200,https://www.zimmo.be/fr/ploegsteert-7782/a-vendre/maison/JY395/
9,Estaimpuis,Maison,,255000,notariale,5,160,0,0,0,,,0,,,,3,0,,,,https://www.zimmo.be/fr/estaimpuis-7730/a-vendre/maison/JY38S/
0,Gerpinnes,Appartement,Duplex,275000,notariale,4,205,0,0,0,True,9,1,,,,2,0,,,,https://www.zimmo.be/fr/gerpinnes-6280/a-vendre/appartement/JY3XH/
1,Nalinnes,Maison,Villa,295000,notariale,6,167,0,0,0,True,24,1,,,,,0,,,369,https://www.zimmo.be/fr/nalinnes-6120/a-vendre/maison/JY3XJ/
2,Petit-Enghien,Maison,Villa,495000,notariale,7,230,0,0,0,True,60,1,,,,4,0,,1978,886,https://www.zimmo.be/fr/petit-enghien-7850/a-vendre/maison/JY3WA/
3,Tournai,Maison,,215000,notariale,10,,0,0,0,,,1,,,,2,0,,,499,https://www.zimmo.be/fr/tournai-7500/a-vendre/maison/JY3RS/
4,,Projet,,182162,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/quaregnon-7390/a-vendre/projet-immobilier/10042LW/
5,Estaimbourg,Bien professionnel,Bâtiment commercial,575000,notariale,1,733,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/estaimbourg-7730/a-vendre/bien-professionnel/JY3OA/
6,Quévy,Bien professionnel,Immeuble de bureaux,590000,notariale,5,,0,0,0,,,1,,,,4,0,,,,https://www.zimmo.be/fr/quevy-7040/a-vendre/bien-professionnel/JY3O5/
7,Haine-Saint-Pierre,Maison,,34999,notariale,3,62,0,0,0,True,7,1,,,,2,0,,1900,435,https://www.zimmo.be/fr/haine-saint-pierre-7100/a-vendre/maison/JY3NT/
8,Monceau-sur-Sambre,Maison,,119999,notariale,3,112,0,0,0,True,21,1,,,,3,0,,,752,https://www.zimmo.be/fr/monceau-sur-sambre-6031/a-vendre/maison/JY3NS/
9,Deux-Acren,Maison,Villa,250000,notariale,5,185,0,0,0,,,1,,,,4,0,,,593,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/maison/JY3MY/
0,Mons,Appartement,,194000,notariale,3,79,0,0,0,True,4,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34Y/
1,Maisières,Appartement,,223000,notariale,4,109,0,0,0,True,14,0,,,,3,0,,2022,,https://www.zimmo.be/fr/maisieres-7020/a-vendre/appartement/JY352/
2,Mons,Appartement,,194000,notariale,3,79,0,0,0,True,4,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34X/
3,Mons,Appartement,,285000,notariale,4,111,0,0,0,True,9,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34Z/
4,Mons,Appartement,,194000,notariale,3,79,0,0,0,True,4,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34W/
5,Mons,Appartement,,194000,notariale,3,79,0,0,0,True,4,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34V/
6,Mons,Appartement,,195000,notariale,3,83,0,0,0,True,9,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34S/
7,Mons,Appartement,,233000,notariale,4,109,0,0,0,True,10,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34T/
8,Mons,Appartement,,270000,notariale,4,111,0,0,0,True,9,0,,,,4,0,,2022,,https://www.zimmo.be/fr/mons-7000/a-vendre/appartement/JY34U/
9,Deux-Acren,Terrain,Terrain à bâtir,95000,notariale,0,,0,0,0,,,0,,,,3,0,,,,https://www.zimmo.be/fr/deux-acren-7864/a-vendre/terrain/JY34D/
