Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
0,,Maison,Ferme,,notariale,0,,0,0,0,,,0,,,,4.0,0,,,," du Ruisseau 26, 4357 Haneffe",50.636,5.32194,https://www.zimmo.be/fr/haneffe-4357/a-vendre/maison/JY518/
1,Flémalle,Maison,,228000.0,notariale,3,120.0,0,0,0,,,1,,,,2.0,0,,,,,50.56971,5.4576,https://www.zimmo.be/fr/flemalle-4400/a-vendre/maison/JY4ZS/
2,,Projet,,225000.0,notariale,0,,0,0,0,,,0,,,,,0,,2021.0,,,50.89885,4.33895,https://www.zimmo.be/fr/blegny-4671/a-vendre/projet-immobilier/10045MM/
3,Nessonvaux,Maison,,180000.0,notariale,5,250.0,0,0,0,,,0,,,,2.0,0,,,715.0,,50.57281,5.7372,https://www.zimmo.be/fr/nessonvaux-4870/a-vendre/maison/JY4KC/
4,Nessonvaux,Maison,,200000.0,notariale,7,180.0,0,0,0,,,1,,,,2.0,0,,,478.0,,50.57281,5.7372,https://www.zimmo.be/fr/nessonvaux-4870/a-vendre/maison/JY4KD/
5,Nessonvaux,Bien professionnel,Bâtiment commercial,180000.0,notariale,0,250.0,0,0,0,,,0,,,,2.0,0,,,715.0,,50.57281,5.7372,https://www.zimmo.be/fr/nessonvaux-4870/a-vendre/bien-professionnel/JY4KE/
6,Milmort,Terrain,Terrain à bâtir,99000.0,notariale,0,,0,0,0,,,0,,,,,0,,,," Hallette 68, 4041 Milmort",50.68793,5.58782,https://www.zimmo.be/fr/milmort-4041/a-vendre/terrain/JY4JU/
7,Verviers,Bien professionnel,Bureaux,101400.0,notariale,0,,0,0,0,,,0,,,,2.0,0,,2021.0,," 26, 4800 Verviers",50.56953,5.69214,https://www.zimmo.be/fr/verviers-4800/a-vendre/bien-professionnel/JXTR0/
8,,Projet,,290130.0,notariale,0,,0,0,0,,,0,,,,,0,,,,,50.89885,4.33895,https://www.zimmo.be/fr/retinne-4621/a-vendre/projet-immobilier/100463E/
9,Cheratte,Maison,,249000.0,notariale,5,205.0,0,0,0,True,49.0,1,,,,3.0,0,,,369.0," aux Communes 19, 4602 Cheratte",50.68337,5.67786,https://www.zimmo.be/fr/cheratte-4602/a-vendre/maison/JY3MG/
0,Jemeppe-sur-Meuse,Appartement,,149000.0,notariale,4,59.0,0,0,0,,,0,,,,2.0,0,,2012.0,157.0," 9, 4101 Jemeppe-sur-Meuse",50.61941,5.5175,https://www.zimmo.be/fr/jemeppe-sur-meuse-4101/a-vendre/appartement/JY2JL/
1,Comblain-au-Pont,Terrain,Terrain à bâtir,64500.0,notariale,0,,0,0,0,,,0,,,,,0,,,,,50.47354,5.57905,https://www.zimmo.be/fr/comblain-au-pont-4170/a-vendre/terrain/JY2IT/
2,Ferrières,Maison,,250000.0,notariale,8,328.0,0,0,0,,,1,,,,4.0,0,,,574.0,,50.40075,5.60529,https://www.zimmo.be/fr/ferrieres-4190/a-vendre/maison/JY2IR/
3,Ferrières,Maison,,139000.0,notariale,4,117.0,0,0,0,,,0,,,,2.0,0,,1948.0,493.0,,50.40075,5.60529,https://www.zimmo.be/fr/ferrieres-4190/a-vendre/maison/JY2IS/
