Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
0,Marche-en-Famenne,Maison,,320000.0,notariale,6,140.0,0,0,0,,,0,,,,,0,,,581.0," de Marenne 131, 6900 Marche-en-Famenne",50.2295,5.35419,https://www.zimmo.be/fr/marche-en-famenne-6900/a-vendre/maison/JY4QP/
1,,Projet,,333692.0,notariale,0,,0,0,0,,,0,,,,,0,,,,,50.89885,4.33895,https://www.zimmo.be/fr/arlon-6700/a-vendre/projet-immobilier/10041TI/
2,Marche-en-Famenne,Terrain,Terrain à bâtir,80000.0,notariale,0,,0,0,0,,,0,,,,4.0,0,,,," des Peupliers 1, 6900 Marche-en-Famenne",50.21252,5.35809,https://www.zimmo.be/fr/marche-en-famenne-6900/a-vendre/terrain/JY43U/
3,Marche-en-Famenne,Terrain,Terrain à bâtir,80000.0,notariale,0,,0,0,0,,,0,,,,4.0,0,,,," des Peupliers 1, 6900 Marche-en-Famenne",50.21252,5.35809,https://www.zimmo.be/fr/marche-en-famenne-6900/a-vendre/terrain/JY43V/
4,Bastogne,Appartement,App. rez-de-chaussée,169000.0,notariale,3,68.0,0,0,0,,,0,,,,2.0,0,,,144.0," du Parc 5, 6600 Bastogne",49.99982,5.71545,https://www.zimmo.be/fr/bastogne-6600/a-vendre/appartement/JY43T/
5,Rendeux,Maison,Villa-Manoir,195000.0,notariale,4,100.0,0,0,0,,,0,,,,3.0,0,,,546.0," du Petit Bois 17, 6987 Rendeux",50.23208,5.49923,https://www.zimmo.be/fr/rendeux-6987/a-vendre/maison/JY43R/
6,Rendeux,Maison,Villa-Manoir,195000.0,notariale,5,113.0,0,0,0,,,0,,,,3.0,0,,,489.0," du Petit Bois 17A, 6987 Rendeux",50.23202,5.4991,https://www.zimmo.be/fr/rendeux-6987/a-vendre/maison/JY43S/
7,La Roche-en-Ardenne,Appartement,,189000.0,notariale,7,160.0,0,0,0,,,0,,,,2.0,0,,1973.0,254.0," Chanteraine 7, 6980 La Roche-en-Ardenne",50.18131,5.57491,https://www.zimmo.be/fr/la%20roche-en-ardenne-6980/a-vendre/appartement/JY43P/
8,La Roche-en-Ardenne,Maison,Villa-Manoir,375000.0,notariale,19,423.0,0,0,0,,,0,,,,4.0,0,,,," de Villez 63, 6980 La Roche-en-Ardenne",50.18033,5.58404,https://www.zimmo.be/fr/la%20roche-en-ardenne-6980/a-vendre/maison/JY43Q/
9,Hargimont,Maison,,279000.0,notariale,4,139.0,0,0,0,,,0,,,,,0,,,361.0," du Presbytère 28, 6900 Hargimont",50.18203,5.30625,https://www.zimmo.be/fr/hargimont-6900/a-vendre/maison/JY3R2/
0,Torgny,Bien professionnel,Entrepôt avec habitation,695000.0,notariale,22,478.0,0,0,0,,,0,,,,,0,,,," Escofiette 12, 6762 Torgny",49.50725,5.47449,https://www.zimmo.be/fr/torgny-6762/a-vendre/bien-professionnel/JY21W/
1,Wéris,Maison,Maison unifamiliale,1500000.0,notariale,6,400.0,0,0,0,,,1,,,,4.0,0,,2014.0,107.0," des Dolmens 32, 6940 Wéris",50.33066,5.52602,https://www.zimmo.be/fr/weris-6940/a-vendre/maison/JY1YZ/
2,Arlon,Appartement,,189000.0,notariale,2,43.0,0,0,0,True,40.0,0,,,,2.0,0,,2016.0,153.0," Emile Tandel 2 / 005, 6700 Arlon",49.6975,5.81082,https://www.zimmo.be/fr/arlon-6700/a-vendre/appartement/JY1U7/
3,Attert,Maison,,395000.0,notariale,8,245.0,0,0,0,True,24.0,1,,,,3.0,0,,1888.0,213.0,,49.75062,5.78885,https://www.zimmo.be/fr/attert-6717/a-vendre/maison/JY1K4/
4,Virton,Maison,Maison unifamiliale,275000.0,notariale,7,250.0,0,0,0,True,10.0,1,,,,2.0,0,,1960.0,256.0,,49.56726,5.53472,https://www.zimmo.be/fr/virton-6760/a-vendre/maison/JY1K2/
