Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
0,Villers-en-Fagne,Terrain,Terrain à bâtir,40000,notariale,0,,0,0,0,,,1,,,,,0,,,," Suisse / Lot 4, 5600 Villers-en-Fagne",50.15552,4.59491,https://www.zimmo.be/fr/villers-en-fagne-5600/a-vendre/terrain/JY1VA/
1,Gembloux,Maison,Villa,310000,notariale,5,150.0,0,0,0,True,30.0,1,,,,4.0,0,,1946.0,323.0,,50.5616,4.69841,https://www.zimmo.be/fr/gembloux-5030/a-vendre/maison/JY1DR/
2,Hastière,Maison,Maison exceptionnelle,1500000,notariale,18,,0,0,0,,,1,,,,4.0,0,,,343.0,,50.21643,4.82581,https://www.zimmo.be/fr/hastiere-5540/a-vendre/maison/JY1CS/
3,Havelange,Maison,,425000,notariale,4,250.0,0,0,1,,,1,,,,4.0,0,,,355.0,,50.38788,5.24123,https://www.zimmo.be/fr/havelange-5370/a-vendre/maison/JY143/
4,Moustier-sur-Sambre,Terrain,,109000,notariale,0,,0,0,0,,,0,,,,,0,,,,,50.46199,4.67695,https://www.zimmo.be/fr/moustier-sur-sambre-5190/a-vendre/terrain/JY13W/
5,Moustier-sur-Sambre,Terrain,,149000,notariale,1,,0,0,0,,,0,,,,3.0,0,,,771.0,,50.46199,4.67695,https://www.zimmo.be/fr/moustier-sur-sambre-5190/a-vendre/terrain/JY13X/
6,Moustier-sur-Sambre,Maison,,119000,notariale,3,,0,0,0,,,0,,,,3.0,0,,,771.0,,50.46199,4.67695,https://www.zimmo.be/fr/moustier-sur-sambre-5190/a-vendre/maison/JY13Z/
7,Blaimont,Maison,,66000,notariale,3,40.0,0,0,0,True,16.0,0,,,,4.0,0,,1975.0,646.0," du village 2 / 141, 5542 Blaimont",50.19151,4.83415,https://www.zimmo.be/fr/blaimont-5542/a-vendre/maison/JY12G/
8,Lives-sur-Meuse,Maison,,290000,notariale,6,130.0,0,0,0,,,0,,,,4.0,0,,,771.0,,50.46617,4.92451,https://www.zimmo.be/fr/lives-sur-meuse-5101/a-vendre/maison/JY121/
9,Namur,Bien professionnel,Bureaux,248500,notariale,0,164.0,0,0,0,,,0,,,,,0,,,,,50.46573,4.86182,https://www.zimmo.be/fr/namur-5000/a-vendre/bien-professionnel/JY0Z1/
0,Jemeppe-sur-Sambre,Maison,,67500,notariale,2,31.0,0,0,0,,,1,,,,3.0,0,,,792.0," Bas Werichet, 59, 5190 Jemeppe-sur-Sambre",50.46746,4.6601,https://www.zimmo.be/fr/jemeppe-sur-sambre-5190/a-vendre/maison/JY2X1/
1,Somzée,Maison,,125000,notariale,0,85.0,0,0,0,,,1,,,,2.0,0,,,," Basse,àcôtédu 16, 5651 Somzée",50.29386,4.4852,https://www.zimmo.be/fr/somzee-5651/a-vendre/maison/JY2X2/
2,Ham-sur-Sambre,Bien professionnel,Bâtiment commercial,599000,notariale,1,90.0,0,0,0,,,0,,,,4.0,0,,1920.0,," de la Glacerie 178, 5190 Ham-sur-Sambre",50.44819,4.68642,https://www.zimmo.be/fr/ham-sur-sambre-5190/a-vendre/bien-professionnel/JY2JI/
3,Falmagne,Maison,Ferme,135000,notariale,3,116.0,0,0,0,,,1,,,,4.0,0,,,479.0," Bry 1, 5500 Falmagne",50.19421,4.89762,https://www.zimmo.be/fr/falmagne-5500/a-vendre/maison/JY2IU/
4,Ciney,Maison,,365000,notariale,6,175.0,0,0,0,,,1,,,,4.0,0,,2008.0,216.0,,50.29717,5.10246,https://www.zimmo.be/fr/ciney-5590/a-vendre/maison/JY2G7/
5,Beauraing,Maison,,199000,notariale,4,108.0,0,0,0,,,1,,,,4.0,0,,2021.0,,,50.10883,4.95937,https://www.zimmo.be/fr/beauraing-5570/a-vendre/maison/JY2G8/
6,Beauraing,Maison,,185000,notariale,5,,0,0,0,,,1,,,,4.0,0,,,657.0,,50.10883,4.95937,https://www.zimmo.be/fr/beauraing-5570/a-vendre/maison/JY2E6/
7,Cul-des-Sarts,Maison,,225000,notariale,5,162.0,0,0,0,,,1,,,,4.0,0,,2005.0,239.0,,49.96234,4.45496,https://www.zimmo.be/fr/cul-des-sarts-5660/a-vendre/maison/JY279/
8,Rochefort,Maison,,325000,notariale,6,169.0,0,0,0,,,1,,,,3.0,0,,,215.0,,50.1615,5.22248,https://www.zimmo.be/fr/rochefort-5580/a-vendre/maison/JY223/
9,Namur,Appartement,,155000,notariale,1,70.0,0,0,0,,,0,,,,,0,,,260.0," de Louvain 296-298, 5000 Namur",50.47683,4.87708,https://www.zimmo.be/fr/namur-5000/a-vendre/appartement/JY20V/
0,Namur,Bien professionnel,Bureaux,298500,notariale,0,216.0,0,0,0,,,0,,,,,0,,,,,50.46573,4.86182,https://www.zimmo.be/fr/namur-5000/a-vendre/bien-professionnel/JY0YR/
1,Jambes,Maison,,199900,notariale,5,168.0,0,0,1,,,1,,,,,0,,,369.0," de Géronsart 179, 5100 Jambes",50.44986,4.87709,https://www.zimmo.be/fr/jambes-5100/a-vendre/maison/JY0WW/
0,Bouge,Bien professionnel,Bureaux,395000,notariale,0,360.0,0,0,0,,,0,,,,,0,,,,,50.47196,4.89156,https://www.zimmo.be/fr/bouge-5004/a-vendre/bien-professionnel/JY457/
1,Bouge,Bien professionnel,Bureaux,395000,notariale,0,360.0,0,0,0,,,0,,,,,0,,,,,50.47196,4.89156,https://www.zimmo.be/fr/bouge-5004/a-vendre/bien-professionnel/JY456/
2,Fraire,Maison,,299000,notariale,6,180.0,0,0,0,True,32.0,1,,,,,0,,1960.0,818.0," de Fairoul, 125, 5650 Fraire",50.25716,4.4937,https://www.zimmo.be/fr/fraire-5650/a-vendre/maison/JY3XG/
3,Hanzinne,Maison,,135000,notariale,3,105.0,0,0,0,,,1,,,,2.0,0,,,503.0," des Combattants, 75, 5621 Hanzinne",50.31164,4.54475,https://www.zimmo.be/fr/hanzinne-5621/a-vendre/maison/JY3XI/
4,Falmignoul,Maison,Ferme,165000,notariale,4,106.0,0,0,0,True,24.0,1,,,,4.0,0,,,587.0," Haute 25, 5500 Falmignoul",50.20535,4.89085,https://www.zimmo.be/fr/falmignoul-5500/a-vendre/maison/JY3NR/
5,Florennes,Maison,,70000,agence,2,,0,0,0,,,0,,,,,0,,1850.0,354.0," Ruisseau des Forges 46, 5620 Florennes",50.25247,4.60215,https://www.zimmo.be/fr/florennes-5620/a-vendre/maison/JY3N2/
6,Agimont,Terrain,Bois,10000,notariale,0,,0,0,0,,,0,,,,,0,,,," de Philippeville, 5544 Agimont",50.15021,4.79937,https://www.zimmo.be/fr/agimont-5544/a-vendre/terrain/JY3N3/
7,Assesse,Maison,Usage mixte,225000,notariale,0,388.0,0,0,0,,,0,,,,4.0,0,,,," Basse 7, 5330 Assesse",50.3528,4.9615,https://www.zimmo.be/fr/assesse-5330/a-vendre/maison/JY3LT/
8,Ciney,Appartement,,232780,notariale,4,82.0,0,0,0,True,22.0,0,,,,2.0,0,,2020.0,," des Stations 19 / 2.1, 5590 Ciney",50.29435,5.09738,https://www.zimmo.be/fr/ciney-5590/a-vendre/appartement/JY3BG/
9,Ciney,Appartement,,180250,notariale,3,55.0,0,0,0,True,13.0,0,,,,2.0,0,,2020.0,," des Stations 19 / 1.2, 5590 Ciney",50.29435,5.09738,https://www.zimmo.be/fr/ciney-5590/a-vendre/appartement/JY3BF/
0,Gembloux,Bien professionnel,Entrepôt,356400,notariale,0,324.0,0,0,0,,,0,,,,,0,,,,,50.5616,4.69841,https://www.zimmo.be/fr/gembloux-5030/a-vendre/bien-professionnel/JY565/
1,Gembloux,Bien professionnel,Entrepôt,316800,notariale,0,288.0,0,0,0,,,0,,,,,0,,,,,50.5616,4.69841,https://www.zimmo.be/fr/gembloux-5030/a-vendre/bien-professionnel/JY564/
