,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
0,Woluwe-Saint-Lambert,Maison,Villa,1645000,notariale,8,400,0,0,0,True,20,1,,,000,4,0,new,2004,203,https://www.zimmo.be/fr/woluwe-saint-lambert-1200/a-vendre/maison/JV44K/
1,Uccle,Maison,,499000,notariale,5,240,0,0,0,True,8,1,,,194,2,0,old,1953,131,https://www.zimmo.be/fr/uccle-1180/a-vendre/maison/JV3HI/
2,Uccle,Appartement,Triplex,450000,notariale,4,132,0,0,0,True,10,0,,,,2,0,old,2012,108,https://www.zimmo.be/fr/uccle-1180/a-vendre/appartement/JV290/
3,Bruxelles,Appartement,,630000,notariale,9,213,0,0,0,,,0,,,,,0,,,210,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JV1V7/
4,Ixelles,Appartement,,695000,notariale,5,166,0,0,0,,,0,,,,,0,old,1955,240,https://www.zimmo.be/fr/ixelles-1050/a-vendre/appartement/JV1NE/
5,Uccle,Maison,,475000,notariale,5,125,0,0,0,True,50,1,,,189,,0,old,2003,186,https://www.zimmo.be/fr/uccle-1180/a-vendre/maison/JV1D8/
6,Ixelles,Appartement,,435000,notariale,3,115,0,0,0,,,0,,,,3,0,new,1950,292,https://www.zimmo.be/fr/ixelles-1050/a-vendre/appartement/JV0XX/
7,Anderlecht,Maison,Autre,349000,notariale,5,120,0,0,0,True,14,0,,,,2,0,old,1920,314,https://www.zimmo.be/fr/anderlecht-1070/a-vendre/maison/JV0OQ/
8,Anderlecht,Maison,,349000,notariale,5,120,0,0,0,True,14,0,,,,2,0,old,1920,314,https://www.zimmo.be/fr/anderlecht-1070/a-vendre/maison/JV0OR/
9,Uccle,Terrain,Terrain à bâtir,1000000,notariale,0,,0,0,0,,,0,,,24,,0,,,,https://www.zimmo.be/fr/uccle-1180/a-vendre/terrain/JV04N/
0,Bruxelles,Appartement,Studio,374000,notariale,0,50,0,0,0,,,0,,,000,,0,old,2016,126,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57H/
1,Bruxelles,Appartement,Studio,396000,notariale,0,55,0,0,0,,,0,,,000,,0,old,2016,138,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57K/
2,Bruxelles,Appartement,Studio,393000,notariale,0,55,0,0,0,,,0,,,000,,0,old,2016,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57A/
3,Bruxelles,Appartement,Studio,396000,notariale,0,55,0,0,0,,,0,,,000,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57C/
4,Bruxelles,Appartement,Studio,468000,notariale,0,68,0,0,0,,,0,,,000,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX577/
5,Bruxelles,Appartement,Studio,371000,notariale,0,50,0,0,0,,,0,,,000,,0,old,2016,126,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57J/
6,Bruxelles,Appartement,Studio,396000,notariale,0,55,0,0,0,,,0,,,000,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57D/
7,Bruxelles,Appartement,Studio,468000,notariale,0,68,0,0,0,,,0,,,000,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57G/
8,Bruxelles,Appartement,Studio,374000,notariale,0,50,0,0,0,,,0,,,000,,0,old,2016,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57F/
9,Bruxelles,Appartement,Studio,493000,notariale,0,74,0,0,0,,,0,,,000,,0,old,2016,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/appartement/JX57B/
0,Bruxelles,Bien professionnel,Commerce,229000,notariale,3,80,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/bien-professionnel/JXT82/
1,Uccle,Appartement,,490000,notariale,5,120,0,0,1,,,0,,,,4,0,,,258,https://www.zimmo.be/fr/uccle-1180/a-vendre/appartement/JXT80/
2,Anderlecht,Appartement,,215000,notariale,3,,0,0,0,,,0,,,,2,0,,,241,https://www.zimmo.be/fr/anderlecht-1070/a-vendre/appartement/JXT83/
3,Bruxelles,Garage,,12000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/garage/JXT7Y/
4,Jette,Maison,,555000,notariale,5,195,0,0,0,,,0,,,,,0,,1932,268,https://www.zimmo.be/fr/jette-1090/a-vendre/maison/JXT84/
5,Bruxelles,Garage,,24500,notariale,3,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/bruxelles-1000/a-vendre/garage/JXT7Z/
6,Anderlecht,Bien professionnel,Commerce,215000,notariale,2,,0,0,0,,,0,,,,2,0,,,241,https://www.zimmo.be/fr/anderlecht-1070/a-vendre/bien-professionnel/JXT7U/
